TIC_ID,T_eff (K),Start_time (TBJD),End_time (TBJD),Peak_time (TBJD),Amplitude,Duration (days),Flare_energy (erg),ED (s)
29830830,3608,2038.430485,2038.43141,2038.430716,0.087355749,0.000925939,7.42E+28,755.8809066
89257479,3093,2055.884657,2055.886508,2055.884888,0.065173802,0.001851858,8.15E+27,1108.096594
140579075,,2047.079221,2047.084082,2047.079915,1.143700904,0.004861099,,6056.403208
31740375,3379,2056.862567,2056.864187,2056.862798,0.225615066,0.001620395,9.78E+28,2619.960065
141807839,3259,2044.130307,2044.156001,2044.131232,0.132805184,0.025694292,3.52E+31,27233.90694
141807839,3259,2045.073125,2045.102291,2045.074282,0.071249554,0.029166482,2.26E+31,14201.38196
142052876,,2053.409538,2053.410695,2053.409769,0.184762735,0.001157394,,938.4127606
149539114,5367,2058.354613,2058.358548,2058.355076,0.049558574,0.003935213,8.18E+30,1261.844308
167551757,,2050.728495,2050.737291,2050.729652,0.066213509,0.008796256,,4042.529383
167551757,,2050.911133,2050.91854,2050.911827,0.028105741,0.007407373,,1966.951049
167551757,,2052.079645,2052.084044,2052.080571,0.150141199,0.004398126,,3761.802798
167551757,,2056.024763,2056.031476,2056.025226,0.008009488,0.006712923,,2049.81596
167574282,5290.930176,2054.597158,2054.60225,2054.597389,0.028146746,0.005092572,5.20E+30,809.0982002
169148174,,2049.266779,2049.274186,2049.267242,0.090149892,0.007407281,,3964.486298
169148174,,2057.5717,2057.575635,2057.571931,0.086710556,0.003935089,,4551.376458
169148174,,2058.24622,2058.254322,2058.246683,0.04424713,0.00810165,,3045.758476
32090583,3249,2036.43357,2036.438431,2036.434959,0.822275047,0.004861196,4.31E+29,9085.217145
220432563,3387,2036.704114,2036.708744,2036.704808,0.060958934,0.004629718,1.88E+29,1639.067043
220432563,3387,2058.328798,2058.331113,2058.329492,0.270620627,0.002314853,1.38E+29,2767.409582
220473309,3884,2058.139513,2058.145532,2058.14067,0.027860518,0.006018622,1.54E+30,479.8207741
229807000,3453,2043.567536,2043.581888,2043.571239,0.261182886,0.014352116,1.24E+31,13579.03424
231799463,,2037.306943,2037.310879,2037.307869,101.9145562,0.003935206,,3695.55733
231799463,,2055.956763,2056.004217,2055.957226,27.63018238,0.047453736,,27290.99123
232073219,,2045.421706,2045.424947,2045.422632,0.104556955,0.003240799,,1020.849409
232073219,,2045.705276,2045.708053,2045.706202,0.369364152,0.002777827,,2768.356499
232073219,,2046.045559,2046.048569,2046.046022,0.1262965,0.003009312,,1508.926175
238176832,3245,2057.895663,2057.903533,2057.896589,0.171085069,0.007870401,1.26E+30,17889.03831
33864387,3443,2043.375669,2043.377289,2043.376132,0.098037919,0.00162038,7.86E+28,864.1969052
33864387,3443,2053.412757,2053.418313,2053.414146,0.079739345,0.005555575,6.97E+29,2121.997049
259845346,3344,2041.194086,2041.202419,2041.195243,0.245518503,0.008333472,4.58E+30,14022.54216
259845346,3344,2046.785138,2046.790462,2046.785601,0.057642955,0.005324141,6.40E+29,2814.363653
259845346,3344,2053.672452,2053.678007,2053.672915,0.046020097,0.005555564,9.48E+29,4206.246959
262575578,3465,2050.29007,2050.296783,2050.290765,0.090428483,0.006712877,2.26E+30,5041.956972
266997586,5404,2041.554543,2041.557552,2041.555006,0.014418168,0.003009294,2.38E+30,627.8928122
266998480,3663,2039.932317,2039.936021,2039.932548,0.009748911,0.003703763,5.20E+29,1326.512047
266998480,3663,2044.798358,2044.804145,2044.799515,0.03430932,0.005787109,2.13E+30,3706.246936
266998480,3663,2047.685429,2047.691679,2047.686355,0.010722501,0.006250074,1.33E+30,1922.332979
266998480,3663,2056.800773,2056.804708,2056.801236,0.018480631,0.003935198,9.22E+29,2393.123977
270038761,3343,2045.60872,2045.61173,2045.609183,0.076060607,0.003009331,8.56E+28,1371.004702
272086159,3262,2037.516884,2037.521051,2037.517579,0.777033562,0.004166606,4.20E+29,7889.309403
273369281,2908,2052.025195,2052.027973,2052.025426,0.140057752,0.002777771,1.55E+28,4858.81003
273512747,3283,2047.342237,2047.345478,2047.342932,0.092981347,0.003240762,2.22E+29,3637.037681
273512747,3283,2047.95451,2047.967936,2047.955204,0.017478281,0.01342602,1.50E+30,5212.561287
273512747,3283,2053.971885,2053.974663,2053.972116,0.026393977,0.002777776,9.85E+28,1851.78033
274017928,3397,2041.717888,2041.722286,2041.718814,0.106506781,0.004398128,6.14E+29,3122.946264
274017928,3397,2045.777818,2045.780133,2045.778281,0.057351072,0.002314799,1.17E+29,1073.795794
